Threads, Intervals_x_axis, Intervals_y_axis, Time Taken
1, 1000, 1000, 0.012641924004129, 1.399559949487871
1, 1000, 10000, 0.111641363000672, 1.399559623612596
1, 1000, 100000, 1.272034763002011, 1.399559620354066
1, 10000, 1000, 0.119371560998843, 1.399559623612687
1, 10000, 10000, 1.179042035000748, 1.399559297737682
1, 10000, 100000, 11.281655514998420, 1.399559294479168
1, 100000, 1000, 1.140427750993695, 1.399559620353326
1, 100000, 10000, 12.342139241001860, 1.399559294481835
1, 100000, 100000, 131.115368989005219, 1.399559291295393
2, 1000, 1000, 0.006138945005659, 1.399559949487861
2, 1000, 10000, 0.062528804999602, 1.399559623612712
2, 1000, 100000, 0.744190700002946, 1.399559620353854
2, 10000, 1000, 0.089060997997876, 1.399559623612604
2, 10000, 10000, 0.848860104997584, 1.399559297738165
2, 10000, 100000, 7.686442639998859, 1.399559294479233
2, 100000, 1000, 0.823019928000576, 1.399559620354179
2, 100000, 10000, 8.234982371999649, 1.399559294479485
2, 100000, 100000, 83.829366249003215, 1.399559291244441
4, 1000, 1000, 0.005984591996821, 1.399559949487824
4, 1000, 10000, 0.055129135995230, 1.399559623612596
4, 1000, 100000, 0.537190759998339, 1.399559620353848
4, 10000, 1000, 0.050361098001304, 1.399559623612612
4, 10000, 10000, 0.537122695001017, 1.399559297737521
4, 10000, 100000, 5.683630831998016, 1.399559294478987
4, 100000, 1000, 0.564334690003307, 1.399559620353997
4, 100000, 10000, 5.795493014993554, 1.399559294479108
4, 100000, 100000, 58.872678767002071, 1.399559291227103
8, 1000, 1000, 0.005765144996985, 1.399559949487839
8, 1000, 10000, 0.041383630996279, 1.399559623612652
8, 1000, 100000, 0.475249742994492, 1.399559620353947
8, 10000, 1000, 0.047924466998666, 1.399559623612628
8, 10000, 10000, 0.574862884001050, 1.399559297737557
8, 10000, 100000, 4.688474659000349, 1.399559294478854
8, 100000, 1000, 0.458511846998590, 1.399559620353895
8, 100000, 10000, 4.711673048004741, 1.399559294478963
8, 100000, 100000, 51.954531932999089, 1.399559291221306
